hsa:1	hsa:A1BG
hsa:100130827	hsa:SBK3
hsa:100130890	hsa:TSTD3
hsa:100130933	hsa:SMIM6
hsa:100130958	hsa:SYCE1L
hsa:100130988	hsa:SPATA48
hsa:100131017	hsa:ZNF316
hsa:100131137	hsa:BSPH1
hsa:100131187	hsa:TSTD1
hsa:100131211	hsa:NEMP2
hsa:100131244	hsa:ANKRD63
hsa:100131303	hsa:DPEP2NB
hsa:100131378	hsa:C11orf91
hsa:100131390	hsa:SP9
hsa:100131439	hsa:CD300LD
hsa:100131539	hsa:ZNF705E
hsa:100131608	hsa:PRR23D1
hsa:100131755	hsa:ARMCX4
hsa:100131801	hsa:PET100
hsa:100131827	hsa:ZNF717
hsa:100131897	hsa:INSYN2B
hsa:100131902	hsa:KRTAP25-1
hsa:100131980	hsa:ZNF705G
hsa:100132015	hsa:TEX13D
hsa:100132074	hsa:FOXO6
hsa:100132146	hsa:FAM240A
hsa:100132247	hsa:NPIPB5
hsa:100132285	hsa:KIR2DS2
hsa:100132304	hsa:FAM236B
hsa:100132386	hsa:KRTAP4-9
hsa:100132396	hsa:ZNF705B
hsa:100132399	hsa:GAGE12D
hsa:100132406	hsa:NBPF10
hsa:100132463	hsa:CLDN24
hsa:100132476	hsa:KRTAP4-7
hsa:100132565	hsa:GOLGA8F
hsa:100132911	hsa:DPH3P1
hsa:100132916	hsa:SHISAL2B
hsa:100132963	hsa:SMIM9
hsa:100132994	hsa:CXorf49B
hsa:100133053	hsa:CXorf51B
hsa:100133093	hsa:FAM25G
hsa:100133204	hsa:C9orf147
hsa:100133220	hsa:GOLGA6L3
hsa:100133251	hsa:PRR23D2
hsa:100133267	hsa:DEFB130B
hsa:100133941	hsa:CD24
hsa:100134444	hsa:KCNJ18
hsa:100134934	hsa:TEN1
hsa:100134938	hsa:UPK3BL1
hsa:100137047	hsa:JMJD7
hsa:100137049	hsa:PLA2G4B
hsa:10014	hsa:HDAC5
hsa:100141515	hsa:C17orf99
hsa:100142659	hsa:CTAGE8
hsa:100144748	hsa:KLLN
hsa:100147744	hsa:RNU7-1
hsa:10015	hsa:PDCD6IP
hsa:100151643	hsa:KRTAP20-4
hsa:100151683	hsa:RNU4ATAC
hsa:100151684	hsa:RNU6ATAC
hsa:100158262	hsa:SCARNA9L
hsa:10016	hsa:PDCD6
hsa:100169751	hsa:RNA5S1
hsa:100169753	hsa:RNA5S2
hsa:100169754	hsa:RNA5S3
hsa:100169755	hsa:RNA5S4
hsa:100169756	hsa:RNA5S5
