hsa:873;CBR1
hsa:874;CBR3
hsa:875;CBS
hsa:881;CCIN
hsa:883;KYAT1
hsa:885;CCK
hsa:886;CCKAR
hsa:887;CCKBR
hsa:889;KRIT1
hsa:890;CCNA2
hsa:891;CCNB1
hsa:892;CCNC
hsa:894;CCND2
hsa:896;CCND3
hsa:898;CCNE1
hsa:899;CCNF
hsa:900;CCNG1
hsa:901;CCNG2
hsa:902;CCNH
hsa:904;CCNT1
hsa:905;CCNT2
hsa:908;CCT6A
hsa:909;CD1A
hsa:910;CD1B
hsa:911;CD1C
hsa:912;CD1D
hsa:913;CD1E
hsa:914;CD2
hsa:915;CD3D
hsa:916;CD3E
hsa:917;CD3G
hsa:919;CD247
hsa:920;CD4
hsa:921;CD5
hsa:922;CD5L
hsa:923;CD6
hsa:924;CD7
hsa:925;CD8A
hsa:926;CD8B
hsa:927;CD8B2
hsa:928;CD9
hsa:929;CD14
hsa:930;CD19
hsa:931;MS4A1
hsa:932;MS4A3
hsa:933;CD22
hsa:939;CD27
hsa:940;CD28
hsa:941;CD80
hsa:942;CD86
hsa:943;TNFRSF8
hsa:944;TNFSF8
hsa:945;CD33
hsa:946;SIGLEC6
hsa:947;CD34
hsa:948;CD36
hsa:949;SCARB1
hsa:950;SCARB2
hsa:951;CD37
hsa:952;CD38
hsa:953;ENTPD1
hsa:954;ENTPD2
hsa:955;ENTPD6
hsa:956;ENTPD3
hsa:957;ENTPD5
hsa:958;CD40
hsa:959;CD40LG
hsa:960;CD44
hsa:961;CD47
hsa:962;CD48
hsa:963;CD53
hsa:965;CD58
hsa:966;CD59
hsa:967;CD63
hsa:968;CD68
hsa:969;CD69
hsa:970;CD70
hsa:971;CD72
hsa:972;CD74
hsa:973;CD79A
hsa:974;CD79B
hsa:975;CD81
hsa:976;ADGRE5
hsa:977;CD151
hsa:978;CDA
hsa:983;CDK1
hsa:984;CDK11B
hsa:987;LRBA
hsa:988;CDC5L
hsa:989;SEPTIN7
hsa:990;CDC6
hsa:991;CDC20
hsa:993;CDC25A
hsa:994;CDC25B
hsa:995;CDC25C
hsa:996;CDC27
hsa:997;CDC34
hsa:998;CDC42
hsa:999;CDH1
hsa:1000;CDH2
hsa:1001;CDH3
hsa:1002;CDH4
hsa:1003;CDH5
hsa:1004;CDH6
hsa:1005;CDH7
hsa:1006;CDH8
